old_name	size_t	size_c	size_z	size_y	size_x	xy_mismatch	physical_size_z	physical_size_y	physical_size_x	physical_unit	physical_xy_mismatch	has_lng_lvv_in_name
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series00	1	3	39	1024	1024	False	0.36100000000000004	0.07095553274682306	0.07095553274682306	µm	False	False
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series01	1	3	96	1024	1024	False	0.36100000000000004	0.07095553274682306	0.07095553274682306	µm	False	False
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series02	1	3	89	1024	1024	False	0.361	0.07095553274682306	0.07095553274682306	µm	False	False
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series03	1	3	112	1024	1024	False	0.36100000000000004	0.07095553274682306	0.07095553274682306	µm	False	False
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series04	1	3	88	1024	1024	False	0.36100000000000004	0.07095625610948192	0.07095625610948192	µm	False	False
20230803_rccp22-88_pfa_centr-tub-hoechst_series00	1	3	163	616	657	True	0.21308000000000002	0.10129765853658536	0.10129765243902439	µm	True	True
20230803_rccp22-88_pfa_centr-tub-hoechst_series01	1	3	141	639	643	True	0.21308	0.10129764890282131	0.10129764797507788	µm	True	True
20230803_rccp22-88_pfa_centr-tub-hoechst_series02	1	3	141	639	643	True	0.21308	0.10129764890282131	0.10129764797507788	µm	True	True
20230803_rccp22-88_pfa_centr-tub-hoechst_series03	1	3	141	639	643	True	0.21308	0.10129764890282131	0.10129764797507788	µm	True	True
20230803_rccp22-88_pfa_centr-tub-hoechst_series04	1	3	141	700	730	True	0.21308	0.1012976537911302	0.10129765432098765	µm	True	True
20230803_rccp22-88_pfa_centr-tub-hoechst_series05	1	3	141	1114	1220	True	0.21308	0.10129766397124888	0.10129762100082033	µm	True	True
20230516_rcc2962_pfa_hoechst-nhs-tub_series00	1	3	72	1024	1024	False	0.27015507042253517	0.10278338220918867	0.10278338220918867	µm	False	False
20230516_rcc2962_pfa_hoechst-nhs-tub_series01	1	3	72	1024	1024	False	0.27015507042253517	0.10278338220918867	0.10278338220918867	µm	False	True
20230516_rcc2962_pfa_hoechst-nhs-tub_series02	1	3	100	1024	1024	False	0.2701549494949495	0.10278338220918867	0.10278338220918867	µm	False	False
20230516_rcc2962_pfa_hoechst-nhs-tub_series03	1	3	100	1024	1024	False	0.2701549494949495	0.10278338220918867	0.10278338220918867	µm	False	True
20230516_rcc2962_pfa_hoechst-nhs-tub_series04	1	3	36	1024	1024	False	0.270155	0.10278338220918867	0.10278338220918867	µm	False	False
20230516_rcc2962_pfa_hoechst-nhs-tub_series05	1	3	36	1024	1024	False	0.270155	0.10278338220918867	0.10278338220918867	µm	False	True
20230516_rcc2962_pfa_hoechst-nhs-tub_series06	1	3	83	1024	1024	False	0.270155	0.10278338220918867	0.10278338220918867	µm	False	False
20230516_rcc2962_pfa_hoechst-nhs-tub_series07	1	3	83	1024	1024	False	0.270155	0.10278338220918867	0.10278338220918867	µm	False	True
20230516_rcc2962_pfa_hoechst-nhs-tub_series08	1	3	52	1024	1024	False	0.27015490196078434	0.10278338220918867	0.10278338220918867	µm	False	False
20230516_rcc2962_pfa_hoechst-nhs-tub_series09	1	3	52	1024	1024	False	0.27015490196078434	0.10278338220918867	0.10278338220918867	µm	False	True
20230802_RCC_4630_pfa_OD_Hoechst-tub-nhs_series00	1	3	100	1024	1024	False	0.25839999999999996	0.07099780058651026	0.07099780058651026	µm	False	False
20230802_RCC_4630_pfa_OD_Hoechst-tub-nhs_series01	1	3	65	1024	1024	False	0.25839999999999996	0.07104115347018573	0.07104115347018573	µm	False	False
20240604_rcc2962-pfa_centr-tub-hoechst_series00	1	3	161	892	976	True	0.21308	0.10129760942760943	0.10129761025641026	µm	True	True
20240604_rcc2962-pfa_centr-tub-hoechst_series01	1	3	121	892	976	True	0.21308	0.10129760942760943	0.10129761025641026	µm	True	True
20240604_rcc2962-pfa_centr-tub-hoechst_series02	1	3	121	892	976	True	0.21308	0.10129760942760943	0.10129761025641026	µm	True	True
20240604_rcc2962-pfa_centr-tub-hoechst_series03	1	3	143	877	967	True	0.21308	0.10129760273972602	0.10129760869565216	µm	True	True
20230802_RCC_6310_pfa_OD_Hoechst-tub-nhs_series00	1	3	63	1024	1024	False	0.36100000000000004	0.047406647116324536	0.047406647116324536	µm	False	False
20230802_RCC_6310_pfa_OD_Hoechst-tub-nhs_series01	1	3	80	1024	1024	False	0.2204	0.047099227761485826	0.047099227761485826	µm	False	False
20230802_RCC_6310_pfa_OD_Hoechst-tub-nhs_series02	1	3	150	1024	1024	False	0.2204	0.047099227761485826	0.047099227761485826	µm	False	False
20240209_BMCC_394Night_pfa_OD_Hoechst-centr-nhs-tub_series00	1	4	57	1024	1024	False	0.44839999999999997	0.07106101661779081	0.07106101661779081	µm	False	False
20240209_BMCC_394Night_pfa_OD_Hoechst-centr-nhs-tub_series01	1	4	72	1024	1024	False	0.44839999999999997	0.07106101661779081	0.07106101661779081	µm	False	False
20240117_bmcc311_pfa_centr-tub-hoechst_series00	1	3	119	341	421	True	0.21308	0.10129761764705882	0.10129761904761905	µm	True	True
20240117_bmcc311_pfa_centr-tub-hoechst_series01	1	3	81	292	275	True	0.21308	0.10129762886597937	0.10129762773722628	µm	True	True
20240117_bmcc588_pfa_hoechst-tub-centr_series00	1	3	62	512	512	False	0.2701550819672131	0.10278336594911937	0.10278336594911937	µm	False	True
20240117_bmcc588_pfa_hoechst-tub-centr_series01	1	3	33	862	742	True	0.270155	0.1027833681765389	0.10278337381916329	µm	True	True
20240117_bmcc588_pfa_hoechst-tub-centr_series02	1	3	112	1024	1024	False	0.27015504504504506	0.10278338220918867	0.10278338220918867	µm	False	True
20231201_bmcc147n_pfa_hoechst-tub-centr_series00	1	3	58	725	512	True	0.2701549122807018	0.10278337016574585	0.10278336594911937	µm	True	False
20231201_bmcc147n_pfa_hoechst-tub-centr_series01	1	3	58	725	512	True	0.2701549122807018	0.10278337016574585	0.10278336594911937	µm	True	True
20231201_bmcc147n_pfa_hoechst-tub-centr_series02	1	3	65	961	1410	True	0.270155	0.102783375	0.102783392476934	µm	True	False
20231201_bmcc147n_pfa_hoechst-tub-centr_series03	1	3	65	961	1410	True	0.270155	0.102783375	0.102783392476934	µm	True	True
20231201_bmcc147n_pfa_hoechst-tub-centr_series04	1	3	42	512	512	False	0.27015487804878047	0.10278336594911937	0.10278336594911937	µm	False	False
20231201_bmcc147n_pfa_hoechst-tub-centr_series05	1	3	42	512	512	False	0.27015487804878047	0.10278336594911937	0.10278336594911937	µm	False	True
20231201_bmcc147n_pfa_hoechst-tub-centr_series06	1	3	126	1378	1391	True	0.27015496	0.10278336964415397	0.10278338129496402	µm	True	False
20231201_bmcc147n_pfa_hoechst-tub-centr_series07	1	3	126	1378	1391	True	0.27015496	0.10278336964415397	0.10278338129496402	µm	True	True
20231201_bmcc147n_pfa_hoechst-tub-centr_series08	1	3	59	1052	1269	True	0.270155	0.10278334919124643	0.10278335962145112	µm	True	False
20231201_bmcc147n_pfa_hoechst-tub-centr_series09	1	3	59	1052	1269	True	0.270155	0.10278334919124643	0.10278335962145112	µm	True	True
20240117_bmcc298_pfa_centr-tub-hoechst_series00	1	3	75	333	359	True	0.21308	0.1012976204819277	0.10129762569832403	µm	True	True
20240117_bmcc298_pfa_centr-tub-hoechst_series01	1	3	117	349	359	True	0.21308	0.10129761494252873	0.10129762569832403	µm	True	True
20240117_bmcc298_pfa_centr-tub-hoechst_series02	1	3	106	349	359	True	0.21308000000000002	0.10129761494252873	0.10129762569832403	µm	True	True
20231201_bmcc127_pfa_hoechst-tub-centr_series00	1	3	55	611	607	True	0.270155	0.10278337704918034	0.10278336633663367	µm	True	False
20231201_bmcc127_pfa_hoechst-tub-centr_series01	1	3	55	611	607	True	0.270155	0.10278337704918034	0.10278336633663367	µm	True	True
