Clade according figure 1	new_filename_iteration5_afterEverythingElse_justDeconvAlign	Cell cycle stage	Spools	Cortical centrin	Apical centrin ring
Glaucophyta	rcc6731_pfa_dna-tub-nhs_20230616_od_s00	mitotic onset	No	-	-
Glaucophyta	rcc6731_pfa_dna-tub-nhs_20230616_od_s01	Mitosis	No	-	-
Glaucophyta	rcc6731_pfa_dna-tub-nhs_20230616_od_s02	Interphase	No	-	-
Glaucophyta	rcc6731_pfa_dna-tub-nhs_20230616_od_s03	Interphase	No	-	-
Glaucophyta	rcc6731_pfa_dna-tub-nhs_20230616_od_s04	Interphase	No	-	-
Rhodophyta	rcc2962_pfa_dna-nhs-tub_20230516_cl_s00	Interphase	No	-	-
Rhodophyta	rcc2962_pfa_dna-nhs-tub_20230516_cl_s00_deconv	Interphase	No	-	-
Rhodophyta	rcc2962_pfa_dna-nhs-tub_20230516_cl_s01	Interphase	No	-	-
Rhodophyta	rcc2962_pfa_dna-nhs-tub_20230516_cl_s01_deconv	Interphase	No	-	-
Rhodophyta	rcc2962_pfa_dna-nhs-tub_20230516_cl_s02	Interphase	No	-	-
Rhodophyta	rcc2962_pfa_dna-nhs-tub_20230516_cl_s02_deconv	Interphase	No	-	-
Rhodophyta	rcc2962_pfa_dna-nhs-tub_20230516_cl_s03	Interphase	No	-	-
Rhodophyta	rcc2962_pfa_dna-nhs-tub_20230516_cl_s03_deconv	Interphase	No	-	-
Rhodophyta	rcc2962_pfa_dna-nhs-tub_20230516_cl_s04	Interphase	No	-	-
Rhodophyta	rcc2962_pfa_dna-nhs-tub_20230516_cl_s04_deconv	Interphase	No	-	-
Rhodophyta	rcc4630_pfa_dna-tub-nhs_20230802_od_s00	Interphase	No	-	-
Rhodophyta	rcc4630_pfa_dna-tub-nhs_20230802_od_s01	Interphase	No	-	-
Rhodophyta	rcc2962_pfa_cetn-tub-dna_20240604_cl_s00	Interphase	No	No	No
Rhodophyta	rcc2962_pfa_cetn-tub-dna_20240604_cl_s01	Interphase	No	No	No
Rhodophyta	rcc2962_pfa_cetn-tub-dna_20240604_cl_s02	Interphase	No	No	No
Rhodophyta	rcc2962_pfa_cetn-tub-dna_20240604_cl_s03	Interphase	No	No	No
Rhodophyta	rcc6310_pfa_dna-tub-nhs_20230802_od_s00	Interphase	No	-	-
Rhodophyta	rcc6310_pfa_dna-tub-nhs_20230802_od_s01	Interphase	No	-	-
Rhodophyta	rcc6310_pfa_dna-tub-nhs_20230802_od_s02	Interphase	No	-	-
Rhodophyta	rcc10669_pfa_cetn-tub-dna_20230803_cl_s00	Interphase	No	No	No
Rhodophyta	rcc10669_pfa_cetn-tub-dna_20230803_cl_s01	Interphase	No	No	No
Rhodophyta	rcc10669_pfa_cetn-tub-dna_20230803_cl_s02	Interphase	No	No	No
Rhodophyta	rcc10669_pfa_cetn-tub-dna_20230803_cl_s03	Interphase	No	No	No
Rhodophyta	rcc10669_pfa_cetn-tub-dna_20230803_cl_s04	Interphase	No	No	No
Rhodophyta	rcc10669_pfa_cetn-tub-dna_20230803_cl_s05	Interphase	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s00	unknown	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s00_deconv	Interphase	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s01	unknown	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s01_deconv	Interphase	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s02	unknown	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s02_deconv	Interphase	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s03	unknown	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s03_deconv	Interphase	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s04	unknown	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s04_deconv	Interphase	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s05	unknown	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s05_deconv	Interphase	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s06	Interphase	No	No	No
Viridiplantae	bmcc129_pfa_dna-tub-cetn_20231201_cl_s06_deconv	Interphase	No	No	No
Viridiplantae	bmcc208_pfa_cetn-tub-dna_20231208_cl_s00	Interphase	No	No	No
