Files	Views	Series
culture_collection_zips/bmcc8_pfa_tub_20240214_hs_08.ome.zarr.zip	bmcc8_pfa_cetn-dna-nhs-tub_20240214_hs_08	0
culture_collection_zips/rccs1-6_pfa_dna-tub-cetn-nhs_20231120_fm_05.ome.zarr.zip	rccs1-6_pfa_dna-tub-cetn-nhs_20231120_fm_05	0
culture_collection_zips/bmcc78_pfa_dna-tub-cetn_20231123_cl.ome.zarr.zip	bmcc78_pfa_dna-tub-cetn_20231123_cl_s00_deconv,bmcc78_pfa_dna-tub-cetn_20231123_cl_s01,bmcc78_pfa_dna-tub-cetn_20231123_cl_s01_deconv,bmcc78_pfa_dna-tub-cetn_20231123_cl_s01_deconv_align,bmcc78_pfa_dna-tub-cetn_20231123_cl_s02,bmcc78_pfa_dna-tub-cetn_20231123_cl_s02_deconv,bmcc78_pfa_dna-tub-cetn_20231123_cl_s03_deconv	1,2,3,4,5,6,8
culture_collection_zips/rcc6310_pfa_dna-tub-nhs_20230802_od.ome.zarr.zip	rcc6310_pfa_dna-tub-nhs_20230802_od_s00,rcc6310_pfa_dna-tub-nhs_20230802_od_s01,rcc6310_pfa_dna-tub-nhs_20230802_od_s02	0,1,2
culture_collection_zips/bmcc868_pfa_dna_20240212_hs_05.ome.zarr.zip	bmcc868_pfa_cetn-dna-nhs-tub_20240212_hs_05	0
culture_collection_zips/bmcc868_pfa_dna_20240212_hs_01.ome.zarr.zip	bmcc868_pfa_cetn-dna-nhs-tub_20240212_hs_01	0
culture_collection_zips/erariseta_hpf_dna-bod-tub-nhs_20230824_fm_01.ome.zarr.zip	erariseta_hpf_dna-bod-tub-nhs_20230824_fm_01	0
culture_collection_zips/rccs1-6_pfa_tub_20230426_fm_02.ome.zarr.zip	rccs1-6_pfa_tub_20230426_fm_02	0
culture_collection_zips/erariseta_pfa_tub-npc-dna_20230913_fm_02.ome.zarr.zip	erariseta_pfa_tub-npc-dna_20230913_fm_02	0
culture_collection_zips/bmcc868_pfa_nhs_20240212_hs_05.ome.zarr.zip	bmcc868_pfa_cetn-dna-nhs-tub_20240212_hs_05	0
culture_collection_zips/rcc10642_pfa_bod_20240912_hs_06.ome.zarr.zip	rcc10642_pfa_bod-dna-nhs-tub_20240912_hs_06	0
culture_collection_zips/rcc3002_pfa_cetn-tub-dna_20252103_cl_03.ome.zarr.zip	rcc3002_pfa_cetn-tub-dna_20252103_cl_03	0
culture_collection_zips/bmcc8_pfa_cetn_20240214_hs_10.ome.zarr.zip	bmcc8_pfa_cetn-dna-nhs-tub_20240214_hs_10	0
culture_collection_zips/rcc10647rcc10636_pfa_dna-tub-nhs-bf_20230720_csd_01.ome.zarr.zip	rcc10647rcc10636_pfa_dna-tub-nhs-bf_20230720_csd_01	0
culture_collection_zips/bmcc4_pfa_tub_20240214_hs_12.ome.zarr.zip	bmcc4_pfa_cetn-dna-nhs-tub_20240214_hs_12	0
culture_collection_zips/rcc6675_pl_tub_20250318_hs_11.ome.zarr.zip	rcc6675_pl_cetn-dna-nhs-tub_20250318_hs_11	0
culture_collection_zips/rcc5610rcc6123_pfa_nhs-tub-dna_20230424_fm_01.ome.zarr.zip	rcc5610rcc6123_pfa_nhs-tub-dna_20230424_fm_01	0
culture_collection_zips/rcc6675_pl_dna_20250318_hs_20.ome.zarr.zip	rcc6675_pl_cetn-dna-nhs-tub_20250318_hs_20	0
culture_collection_zips/rcc2538_pfa_dna-cetn-tub-nhs_20240401_fm_03.ome.zarr.zip	rcc2538_pfa_dna-cetn-tub-nhs_20240401_fm_03	0
culture_collection_zips/rcc10896_pfa_dna-cetn-tub-nhs_20240401_fm_02.ome.zarr.zip	rcc10896_pfa_dna-cetn-tub-nhs_20240401_fm_02	0
culture_collection_zips/bmcc692_hpf_nhs-cetn-tub-dna_20240307_fm_04.ome.zarr.zip	bmcc692_hpf_nhs-cetn-tub-dna_20240307_fm_04	0
culture_collection_zips/rccif-kge-ic_pfa_nhs-tub-cetn-dna_20231121_fm_06.ome.zarr.zip	rccif-kge-ic_pfa_nhs-tub-cetn-dna_20231121_fm_06	0
culture_collection_zips/rcc6675_pl_tub_20250318_hs_04.ome.zarr.zip	rcc6675_pl_cetn-dna-nhs-tub_20250318_hs_04	0
culture_collection_zips/bmcc868_pfa_tub_20240212_hs_04.ome.zarr.zip	bmcc868_pfa_cetn-dna-nhs-tub_20240212_hs_04	0
culture_collection_zips/rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl.ome.zarr.zip	rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s00,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s01,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s02,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s02_deconv,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s03,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s03_deconv,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s04,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s04_deconv,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s05,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s05_deconv,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s06,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s06_deconv,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s07,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s07_deconv,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s08,rcc6684_pfa_dna-tub-cetn-nhs_20240425_cl_s08_deconv	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
culture_collection_zips/tokyo_pfa_bod-tub-dna_20230705_fm_03.ome.zarr.zip	tokyo_pfa_bod-tub-dna_20230705_fm_03	0
culture_collection_zips/tokyo_pfa_npc-bod-tub-dna_20230629_fm_01.ome.zarr.zip	tokyo_pfa_npc-bod-tub-dna_20230629_fm_01	0
culture_collection_zips/rcc2538_pfa_dna-cetn-tub-nhs_20240401_fm_09.ome.zarr.zip	rcc2538_pfa_dna-cetn-tub-nhs_20240401_fm_09	0
culture_collection_zips/rcc10719_pfa_dna-glypep1-tub-nhs_20230830_hs_07.ome.zarr.zip	rcc10719_pfa_dna-glypep1-tub-nhs_20230830_hs_07	0
