Filename	new_filename_iteration4_manualRename	remove	size_c
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series00	rcc6731_pfa_dna-tub-nhs_20230616_od_s00		3
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series01	rcc6731_pfa_dna-tub-nhs_20230616_od_s01		3
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series02	rcc6731_pfa_dna-tub-nhs_20230616_od_s02		3
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series03	rcc6731_pfa_dna-tub-nhs_20230616_od_s03		3
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series04	rcc6731_pfa_dna-tub-nhs_20230616_od_s04		3
20230803_rccp22-88_pfa_centr-tub-hoechst_series00	rcc10669_pfa_cetn-tub-dna_20230803_cl_s00		3
20230803_rccp22-88_pfa_centr-tub-hoechst_series01	rcc10669_pfa_cetn-tub-dna_20230803_cl_s01		3
20230803_rccp22-88_pfa_centr-tub-hoechst_series02	rcc10669_pfa_cetn-tub-dna_20230803_cl_s02		3
20230803_rccp22-88_pfa_centr-tub-hoechst_series03	rcc10669_pfa_cetn-tub-dna_20230803_cl_s03		3
20230803_rccp22-88_pfa_centr-tub-hoechst_series04	rcc10669_pfa_cetn-tub-dna_20230803_cl_s04		3
20230803_rccp22-88_pfa_centr-tub-hoechst_series05	rcc10669_pfa_cetn-tub-dna_20230803_cl_s05		3
20230516_rcc2962_pfa_hoechst-nhs-tub_series00	rcc2962_pfa_dna-nhs-tub_20230516_cl_s00		3
20230516_rcc2962_pfa_hoechst-nhs-tub_series01	rcc2962_pfa_dna-nhs-tub_20230516_cl_s01		3
20230516_rcc2962_pfa_hoechst-nhs-tub_series02	rcc2962_pfa_dna-nhs-tub_20230516_cl_s02		3
20230516_rcc2962_pfa_hoechst-nhs-tub_series03	rcc2962_pfa_dna-nhs-tub_20230516_cl_s03		3
20230516_rcc2962_pfa_hoechst-nhs-tub_series04	rcc2962_pfa_dna-nhs-tub_20230516_cl_s04		3
20230516_rcc2962_pfa_hoechst-nhs-tub_series05	rcc2962_pfa_dna-nhs-tub_20230516_cl_s05		3
20230516_rcc2962_pfa_hoechst-nhs-tub_series06	rcc2962_pfa_dna-nhs-tub_20230516_cl_s06		3
20230516_rcc2962_pfa_hoechst-nhs-tub_series07	rcc2962_pfa_dna-nhs-tub_20230516_cl_s07		3
20230516_rcc2962_pfa_hoechst-nhs-tub_series08	rcc2962_pfa_dna-nhs-tub_20230516_cl_s08		3
20230516_rcc2962_pfa_hoechst-nhs-tub_series09	rcc2962_pfa_dna-nhs-tub_20230516_cl_s09		3
20230802_RCC_4630_pfa_OD_Hoechst-tub-nhs_series00	rcc4630_pfa_dna-tub-nhs_20230802_od_s00		3
20230802_RCC_4630_pfa_OD_Hoechst-tub-nhs_series01	rcc4630_pfa_dna-tub-nhs_20230802_od_s01		3
20240604_rcc2962-pfa_centr-tub-hoechst_series00	rcc2962_pfa_cetn-tub-dna_20240604_cl_s00		3
20240604_rcc2962-pfa_centr-tub-hoechst_series01	rcc2962_pfa_cetn-tub-dna_20240604_cl_s01		3
20240604_rcc2962-pfa_centr-tub-hoechst_series02	rcc2962_pfa_cetn-tub-dna_20240604_cl_s02		3
20240604_rcc2962-pfa_centr-tub-hoechst_series03	rcc2962_pfa_cetn-tub-dna_20240604_cl_s03		3
20230802_RCC_6310_pfa_OD_Hoechst-tub-nhs_series00	rcc6310_pfa_dna-tub-nhs_20230802_od_s00		3
20230802_RCC_6310_pfa_OD_Hoechst-tub-nhs_series01	rcc6310_pfa_dna-tub-nhs_20230802_od_s01		3
20230802_RCC_6310_pfa_OD_Hoechst-tub-nhs_series02	rcc6310_pfa_dna-tub-nhs_20230802_od_s02		3
20240209_BMCC_394Night_pfa_OD_Hoechst-centr-nhs-tub_series00	bmcc394_pfa_dna-cetn-nhs-tub_20240209_od_s00		4
20240209_BMCC_394Night_pfa_OD_Hoechst-centr-nhs-tub_series01	bmcc394_pfa_dna-cetn-nhs-tub_20240209_od_s01		4
20240117_bmcc311_pfa_centr-tub-hoechst_series00	bmcc311_pfa_cetn-tub-dna_20240117_cl_s00		3
20240117_bmcc311_pfa_centr-tub-hoechst_series01	bmcc311_pfa_cetn-tub-dna_20240117_cl_s01		3
20240117_bmcc588_pfa_hoechst-tub-centr_series00	bmcc588_pfa_dna-tub-cetn_20240117_cl_s00		3
20240117_bmcc588_pfa_hoechst-tub-centr_series01	bmcc588_pfa_dna-tub-cetn_20240117_cl_s01		3
20240117_bmcc588_pfa_hoechst-tub-centr_series02	bmcc588_pfa_dna-tub-cetn_20240117_cl_s02		3
20231201_bmcc147n_pfa_hoechst-tub-centr_series00	bmcc147_pfa_dna-tub-cetn_20231201_cl_s00		3
20231201_bmcc147n_pfa_hoechst-tub-centr_series01	bmcc147_pfa_dna-tub-cetn_20231201_cl_s01		3
20231201_bmcc147n_pfa_hoechst-tub-centr_series02	bmcc147_pfa_dna-tub-cetn_20231201_cl_s02	x	3
20231201_bmcc147n_pfa_hoechst-tub-centr_series03	bmcc147_pfa_dna-tub-cetn_20231201_cl_s03		3
20231201_bmcc147n_pfa_hoechst-tub-centr_series04	bmcc147_pfa_dna-tub-cetn_20231201_cl_s04		3
20231201_bmcc147n_pfa_hoechst-tub-centr_series05	bmcc147_pfa_dna-tub-cetn_20231201_cl_s05		3
20231201_bmcc147n_pfa_hoechst-tub-centr_series06	bmcc147_pfa_dna-tub-cetn_20231201_cl_s06	x	3
20231201_bmcc147n_pfa_hoechst-tub-centr_series07	bmcc147_pfa_dna-tub-cetn_20231201_cl_s07		3
20231201_bmcc147n_pfa_hoechst-tub-centr_series08	bmcc147_pfa_dna-tub-cetn_20231201_cl_s08	x	3
20231201_bmcc147n_pfa_hoechst-tub-centr_series09	bmcc147_pfa_dna-tub-cetn_20231201_cl_s09		3
20240117_bmcc298_pfa_centr-tub-hoechst_series00	bmcc298_pfa_cetn-tub-dna_20240117_cl_s00		3
20240117_bmcc298_pfa_centr-tub-hoechst_series01	bmcc298_pfa_cetn-tub-dna_20240117_cl_s01		3
20240117_bmcc298_pfa_centr-tub-hoechst_series02	bmcc298_pfa_cetn-tub-dna_20240117_cl_s02		3
20231201_bmcc127_pfa_hoechst-tub-centr_series00	bmcc127_pfa_dna-tub-cetn_20231201_cl_s00	x	3
20231201_bmcc127_pfa_hoechst-tub-centr_series01	bmcc127_pfa_dna-tub-cetn_20231201_cl_s01		3
20231201_bmcc127_pfa_hoechst-tub-centr_series02	bmcc127_pfa_dna-tub-cetn_20231201_cl_s02		3
20231201_bmcc127_pfa_hoechst-tub-centr_series03	bmcc127_pfa_dna-tub-cetn_20231201_cl_s03	x	3
20231201_bmcc127_pfa_hoechst-tub-centr_series04	bmcc127_pfa_dna-tub-cetn_20231201_cl_s04		3
20231201_bmcc127_pfa_hoechst-tub-centr_series05	bmcc127_pfa_dna-tub-cetn_20231201_cl_s05		3
20231201_bmcc127_pfa_hoechst-tub-centr_series06	bmcc127_pfa_dna-tub-cetn_20231201_cl_s06		3
20231201_bmcc127_pfa_hoechst-tub-centr_series07	bmcc127_pfa_dna-tub-cetn_20231201_cl_s07		3
20231201_bmcc127_pfa_hoechst-tub-centr_series08	bmcc127_pfa_dna-tub-cetn_20231201_cl_s08		3
20230817_rcc2339_pfa_hoechst-nhs-tub_series00	rcc2339_pfa_dna-nhs-tub_20230817_cl_s00	x	3
20230817_rcc2339_pfa_hoechst-nhs-tub_series01	rcc2339_pfa_dna-nhs-tub_20230817_cl_s01		3
20230817_rcc2339_pfa_hoechst-nhs-tub_series02	rcc2339_pfa_dna-nhs-tub_20230817_cl_s02	x	3
20230817_rcc2339_pfa_hoechst-nhs-tub_series03	rcc2339_pfa_dna-nhs-tub_20230817_cl_s03		3
20230817_rcc2339_pfa_hoechst-nhs-tub_series04	rcc2339_pfa_dna-nhs-tub_20230817_cl_s04	x	3
