original_name	new_name_iter1	missing_values
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series00	rcc6731_pfa_dna-tub-nhs_20230616_od_s00	
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series01	rcc6731_pfa_dna-tub-nhs_20230616_od_s01	
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series02	rcc6731_pfa_dna-tub-nhs_20230616_od_s02	
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series03	rcc6731_pfa_dna-tub-nhs_20230616_od_s03	
20230616_RCC_6731_pfa_OD_Hoechst-tub-nhs_series04	rcc6731_pfa_dna-tub-nhs_20230616_od_s04	
20230803_rccp22-88_pfa_centr-tub-hoechst_series00	rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s00	cl
20230803_rccp22-88_pfa_centr-tub-hoechst_series01	rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s01	cl
20230803_rccp22-88_pfa_centr-tub-hoechst_series02	rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s02	cl
20230803_rccp22-88_pfa_centr-tub-hoechst_series03	rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s03	cl
20230803_rccp22-88_pfa_centr-tub-hoechst_series04	rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s04	cl
20230803_rccp22-88_pfa_centr-tub-hoechst_series05	rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s05	cl
20230516_rcc2962_pfa_hoechst-nhs-tub_series00	rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s00	cl
20230516_rcc2962_pfa_hoechst-nhs-tub_series01	rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s01	cl
20230516_rcc2962_pfa_hoechst-nhs-tub_series02	rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s02	cl
20230516_rcc2962_pfa_hoechst-nhs-tub_series03	rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s03	cl
20230516_rcc2962_pfa_hoechst-nhs-tub_series04	rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s04	cl
20230516_rcc2962_pfa_hoechst-nhs-tub_series05	rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s05	cl
20230516_rcc2962_pfa_hoechst-nhs-tub_series06	rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s06	cl
20230516_rcc2962_pfa_hoechst-nhs-tub_series07	rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s07	cl
20230516_rcc2962_pfa_hoechst-nhs-tub_series08	rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s08	cl
20230516_rcc2962_pfa_hoechst-nhs-tub_series09	rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s09	cl
20230802_RCC_4630_pfa_OD_Hoechst-tub-nhs_series00	rcc4630_pfa_dna-tub-nhs_20230802_od_s00	
20230802_RCC_4630_pfa_OD_Hoechst-tub-nhs_series01	rcc4630_pfa_dna-tub-nhs_20230802_od_s01	
20240604_rcc2962-pfa_centr-tub-hoechst_series00	rcc2962_pfa_cetn-tub-dna_20240604_MISSINGNAME_s00	cl
20240604_rcc2962-pfa_centr-tub-hoechst_series01	rcc2962_pfa_cetn-tub-dna_20240604_MISSINGNAME_s01	cl
20240604_rcc2962-pfa_centr-tub-hoechst_series02	rcc2962_pfa_cetn-tub-dna_20240604_MISSINGNAME_s02	cl
20240604_rcc2962-pfa_centr-tub-hoechst_series03	rcc2962_pfa_cetn-tub-dna_20240604_MISSINGNAME_s03	cl
20230802_RCC_6310_pfa_OD_Hoechst-tub-nhs_series00	rcc6310_pfa_dna-tub-nhs_20230802_od_s00	
20230802_RCC_6310_pfa_OD_Hoechst-tub-nhs_series01	rcc6310_pfa_dna-tub-nhs_20230802_od_s01	
20230802_RCC_6310_pfa_OD_Hoechst-tub-nhs_series02	rcc6310_pfa_dna-tub-nhs_20230802_od_s02	
20240209_BMCC_394Night_pfa_OD_Hoechst-centr-nhs-tub_series00	bmcc394_pfa_dna-cetn-nhs-tub_20240209_od_s00	
20240209_BMCC_394Night_pfa_OD_Hoechst-centr-nhs-tub_series01	bmcc394_pfa_dna-cetn-nhs-tub_20240209_od_s01	
20240117_bmcc311_pfa_centr-tub-hoechst_series00	bmcc311_pfa_cetn-tub-dna_20240117_MISSINGNAME_s00	cl
20240117_bmcc311_pfa_centr-tub-hoechst_series01	bmcc311_pfa_cetn-tub-dna_20240117_MISSINGNAME_s01	cl
20240117_bmcc588_pfa_hoechst-tub-centr_series00	bmcc588_pfa_dna-tub-cetn_20240117_MISSINGNAME_s00	cl
20240117_bmcc588_pfa_hoechst-tub-centr_series01	bmcc588_pfa_dna-tub-cetn_20240117_MISSINGNAME_s01	cl
20240117_bmcc588_pfa_hoechst-tub-centr_series02	bmcc588_pfa_dna-tub-cetn_20240117_MISSINGNAME_s02	cl
