original_filename	new_filename_iteration2	relabel_channels_clean
rcc6731_pfa_dna-tub-nhs_20230616_od_s00	rcc6731_pfa_dna-tub-nhs_20230616_od_s00	
rcc6731_pfa_dna-tub-nhs_20230616_od_s01	rcc6731_pfa_dna-tub-nhs_20230616_od_s01	
rcc6731_pfa_dna-tub-nhs_20230616_od_s02	rcc6731_pfa_dna-tub-nhs_20230616_od_s02	
rcc6731_pfa_dna-tub-nhs_20230616_od_s03	rcc6731_pfa_dna-tub-nhs_20230616_od_s03	
rcc6731_pfa_dna-tub-nhs_20230616_od_s04	rcc6731_pfa_dna-tub-nhs_20230616_od_s04	
rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s00	rcc10669_pfa_cetn-tub-dna_20230803_cl_s00	
rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s01	rcc10669_pfa_cetn-tub-dna_20230803_cl_s01	
rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s02	rcc10669_pfa_cetn-tub-dna_20230803_cl_s02	
rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s03	rcc10669_pfa_cetn-tub-dna_20230803_cl_s03	
rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s04	rcc10669_pfa_cetn-tub-dna_20230803_cl_s04	
rcc10669_pfa_cetn-tub-dna_20230803_MISSINGNAME_s05	rcc10669_pfa_cetn-tub-dna_20230803_cl_s05	
rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s00	rcc2962_pfa_dna-nhs-tub_20230516_cl_s00	
rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s01	rcc2962_pfa_dna-nhs-tub_20230516_cl_s01	
rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s02	rcc2962_pfa_dna-nhs-tub_20230516_cl_s02	
rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s03	rcc2962_pfa_dna-nhs-tub_20230516_cl_s03	
rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s04	rcc2962_pfa_dna-nhs-tub_20230516_cl_s04	
rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s05	rcc2962_pfa_dna-nhs-tub_20230516_cl_s05	
rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s06	rcc2962_pfa_dna-nhs-tub_20230516_cl_s06	
rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s07	rcc2962_pfa_dna-nhs-tub_20230516_cl_s07	
rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s08	rcc2962_pfa_dna-nhs-tub_20230516_cl_s08	
rcc2962_pfa_dna-nhs-tub_20230516_MISSINGNAME_s09	rcc2962_pfa_dna-nhs-tub_20230516_cl_s09	
rcc4630_pfa_dna-tub-nhs_20230802_od_s00	rcc4630_pfa_dna-tub-nhs_20230802_od_s00	
rcc4630_pfa_dna-tub-nhs_20230802_od_s01	rcc4630_pfa_dna-tub-nhs_20230802_od_s01	
rcc2962_pfa_cetn-tub-dna_20240604_MISSINGNAME_s00	rcc2962_pfa_cetn-tub-dna_20240604_cl_s00	
rcc2962_pfa_cetn-tub-dna_20240604_MISSINGNAME_s01	rcc2962_pfa_cetn-tub-dna_20240604_cl_s01	
rcc2962_pfa_cetn-tub-dna_20240604_MISSINGNAME_s02	rcc2962_pfa_cetn-tub-dna_20240604_cl_s02	
rcc2962_pfa_cetn-tub-dna_20240604_MISSINGNAME_s03	rcc2962_pfa_cetn-tub-dna_20240604_cl_s03	
rcc6310_pfa_dna-tub-nhs_20230802_od_s00	rcc6310_pfa_dna-tub-nhs_20230802_od_s00	
rcc6310_pfa_dna-tub-nhs_20230802_od_s01	rcc6310_pfa_dna-tub-nhs_20230802_od_s01	
rcc6310_pfa_dna-tub-nhs_20230802_od_s02	rcc6310_pfa_dna-tub-nhs_20230802_od_s02	
bmcc394_pfa_dna-cetn-nhs-tub_20240209_od_s00	bmcc394_pfa_dna-cetn-nhs-tub_20240209_od_s00	
bmcc394_pfa_dna-cetn-nhs-tub_20240209_od_s01	bmcc394_pfa_dna-cetn-nhs-tub_20240209_od_s01	
bmcc311_pfa_cetn-tub-dna_20240117_MISSINGNAME_s00	bmcc311_pfa_cetn-tub-dna_20240117_cl_s00	
bmcc311_pfa_cetn-tub-dna_20240117_MISSINGNAME_s01	bmcc311_pfa_cetn-tub-dna_20240117_cl_s01	
bmcc588_pfa_dna-tub-cetn_20240117_MISSINGNAME_s00	bmcc588_pfa_dna-tub-cetn_20240117_cl_s00	
bmcc588_pfa_dna-tub-cetn_20240117_MISSINGNAME_s01	bmcc588_pfa_dna-tub-cetn_20240117_cl_s01	
bmcc588_pfa_dna-tub-cetn_20240117_MISSINGNAME_s02	bmcc588_pfa_dna-tub-cetn_20240117_cl_s02	
bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s00	bmcc147_pfa_dna-tub-cetn_20231201_cl_s00	
bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s01	bmcc147_pfa_dna-tub-cetn_20231201_cl_s01	
bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s02	bmcc147_pfa_dna-tub-cetn_20231201_cl_s02	
bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s03	bmcc147_pfa_dna-tub-cetn_20231201_cl_s03	
bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s04	bmcc147_pfa_dna-tub-cetn_20231201_cl_s04	
bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s05	bmcc147_pfa_dna-tub-cetn_20231201_cl_s05	
bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s06	bmcc147_pfa_dna-tub-cetn_20231201_cl_s06	
bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s07	bmcc147_pfa_dna-tub-cetn_20231201_cl_s07	
bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s08	bmcc147_pfa_dna-tub-cetn_20231201_cl_s08	
bmcc147_pfa_dna-tub-cetn_20231201_MISSINGNAME_s09	bmcc147_pfa_dna-tub-cetn_20231201_cl_s09	
bmcc298_pfa_cetn-tub-dna_20240117_MISSINGNAME_s00	bmcc298_pfa_cetn-tub-dna_20240117_cl_s00	
bmcc298_pfa_cetn-tub-dna_20240117_MISSINGNAME_s01	bmcc298_pfa_cetn-tub-dna_20240117_cl_s01	
bmcc298_pfa_cetn-tub-dna_20240117_MISSINGNAME_s02	bmcc298_pfa_cetn-tub-dna_20240117_cl_s02	
bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s00	bmcc127_pfa_dna-tub-cetn_20231201_cl_s00	
bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s01	bmcc127_pfa_dna-tub-cetn_20231201_cl_s01	
bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s02	bmcc127_pfa_dna-tub-cetn_20231201_cl_s02	
bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s03	bmcc127_pfa_dna-tub-cetn_20231201_cl_s03	
bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s04	bmcc127_pfa_dna-tub-cetn_20231201_cl_s04	
bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s05	bmcc127_pfa_dna-tub-cetn_20231201_cl_s05	
bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s06	bmcc127_pfa_dna-tub-cetn_20231201_cl_s06	
bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s07	bmcc127_pfa_dna-tub-cetn_20231201_cl_s07	
bmcc127_pfa_dna-tub-cetn_20231201_MISSINGNAME_s08	bmcc127_pfa_dna-tub-cetn_20231201_cl_s08	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s00	rcc2339_pfa_dna-nhs-tub_20230817_cl_s00	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s01	rcc2339_pfa_dna-nhs-tub_20230817_cl_s01	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s02	rcc2339_pfa_dna-nhs-tub_20230817_cl_s02	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s03	rcc2339_pfa_dna-nhs-tub_20230817_cl_s03	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s04	rcc2339_pfa_dna-nhs-tub_20230817_cl_s04	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s05	rcc2339_pfa_dna-nhs-tub_20230817_cl_s05	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s06	rcc2339_pfa_dna-nhs-tub_20230817_cl_s06	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s07	rcc2339_pfa_dna-nhs-tub_20230817_cl_s07	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s08	rcc2339_pfa_dna-nhs-tub_20230817_cl_s08	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s09	rcc2339_pfa_dna-nhs-tub_20230817_cl_s09	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s10	rcc2339_pfa_dna-nhs-tub_20230817_cl_s10	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s11	rcc2339_pfa_dna-nhs-tub_20230817_cl_s11	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s12	rcc2339_pfa_dna-nhs-tub_20230817_cl_s12	
rcc2339_pfa_dna-nhs-tub_20230817_MISSINGNAME_s13	rcc2339_pfa_dna-nhs-tub_20230817_cl_s13	
rcc4656_pfa_cetn-tub-dna_20240604_MISSINGNAME_s00	rcc4656_pfa_cetn-tub-dna_20240604_cl_s00	
rcc4656_pfa_cetn-tub-dna_20240604_MISSINGNAME_s01	rcc4656_pfa_cetn-tub-dna_20240604_cl_s01	
rcc4656_pfa_cetn-tub-dna_20240604_MISSINGNAME_s02	rcc4656_pfa_cetn-tub-dna_20240604_cl_s02	
rcc10822_pfa_cetn-tub-dna_20231025_MISSINGNAME	rcc10822_pfa_cetn-tub-dna_20231025_cl	
rcc10802_pfa_cetn-tub-dna_20231025_MISSINGNAME_s00	rcc10802_pfa_cetn-tub-dna_20231025_cl_s00	
rcc10802_pfa_cetn-tub-dna_20231025_MISSINGNAME_s01	rcc10802_pfa_cetn-tub-dna_20231025_cl_s01	
rcc10802_pfa_cetn-tub-dna_20231025_MISSINGNAME_s02	rcc10802_pfa_cetn-tub-dna_20231025_cl_s02	
rcc856_pfa_nhs-tub-dna_20230523_od	rcc856_pfa_nhs-tub-dna_20230523_od	
rcc998_pfa_cetn-tub-dna_20240604_MISSINGNAME_s00	rcc998_pfa_cetn-tub-dna_20240604_cl_s00	
rcc998_pfa_cetn-tub-dna_20240604_MISSINGNAME_s01	rcc998_pfa_cetn-tub-dna_20240604_cl_s01	
rcc998_pfa_cetn-tub-dna_20240604_MISSINGNAME_s02	rcc998_pfa_cetn-tub-dna_20240604_cl_s02	
rcc998_pfa_cetn-tub-dna_20240604_MISSINGNAME_s03	rcc998_pfa_cetn-tub-dna_20240604_cl_s03	
rcc998_pfa_cetn-tub-dna_20240604_MISSINGNAME_s04	rcc998_pfa_cetn-tub-dna_20240604_cl_s04	
rcc3374_pfa_tub-dna-nhs_20230626_MISSINGNAME_s00	rcc3374_pfa_tub-dna-nhs_20230626_cl_s00	
rcc3374_pfa_tub-dna-nhs_20230626_MISSINGNAME_s01	rcc3374_pfa_tub-dna-nhs_20230626_cl_s01	
rcc3374_pfa_tub-dna-nhs_20230626_MISSINGNAME_s02	rcc3374_pfa_tub-dna-nhs_20230626_cl_s02	
rcc3374_pfa_tub-dna-nhs_20230626_MISSINGNAME_s03	rcc3374_pfa_tub-dna-nhs_20230626_cl_s03	
rcc3374_pfa_cetn-tub-dna_20230704_MISSINGNAME_s00	rcc3374_pfa_cetn-tub-dna_20230704_cl_s00	
rcc3374_pfa_cetn-tub-dna_20230704_MISSINGNAME_s01	rcc3374_pfa_cetn-tub-dna_20230704_cl_s01	
rcc3374_pfa_cetn-tub-dna_20240604_MISSINGNAME_s00	rcc3374_pfa_cetn-tub-dna_20240604_cl_s00	
rcc3374_pfa_cetn-tub-dna_20240604_MISSINGNAME_s01	rcc3374_pfa_cetn-tub-dna_20240604_cl_s01	
rcc15_pfa_nhs-tub-dna_20230423_od	rcc15_pfa_nhs-tub-dna_20230423_od	
rcc1871_pfa_dna-tub-nhs_20230616_od_s00	rcc1871_pfa_dna-tub-nhs_20230616_od_s00	
rcc1871_pfa_dna-tub-nhs_20230616_od_s01	rcc1871_pfa_dna-tub-nhs_20230616_od_s01	
rcc4434_pfa_dna-tub-nhs_20230616_od_s00	rcc4434_pfa_dna-tub-nhs_20230616_od_s00	
rcc4434_pfa_dna-tub-nhs_20230616_od_s01	rcc4434_pfa_dna-tub-nhs_20230616_od_s01	
bmcc449_pfa_dna-cetn-nhs-tub_20240216_od_s00	bmcc449_pfa_dna-cetn-nhs-tub_20240216_od_s00	
bmcc449_pfa_dna-cetn-nhs-tub_20240216_od_s01	bmcc449_pfa_dna-cetn-nhs-tub_20240216_od_s01	
bmcc686_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_001	bmcc686_pfa_nhs-cetn-tub-dna_20240205_fm_001	
bmcc686_MISSINGFIX_nhs-cetn-tub-dna_20240205_fm_002	bmcc686_pfa_nhs-cetn-tub-dna_20240205_fm_002	
bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s00	bmcc469_pfa_dna-tub-cetn_20240111_cl_s00	
bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s01	bmcc469_pfa_dna-tub-cetn_20240111_cl_s01	
bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s02	bmcc469_pfa_dna-tub-cetn_20240111_cl_s02	
bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s03	bmcc469_pfa_dna-tub-cetn_20240111_cl_s03	
bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s04	bmcc469_pfa_dna-tub-cetn_20240111_cl_s04	
bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s05	bmcc469_pfa_dna-tub-cetn_20240111_cl_s05	
bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s06	bmcc469_pfa_dna-tub-cetn_20240111_cl_s06	
bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s07	bmcc469_pfa_dna-tub-cetn_20240111_cl_s07	
bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s08	bmcc469_pfa_dna-tub-cetn_20240111_cl_s08	
bmcc469_pfa_dna-tub-cetn_20240111_MISSINGNAME_s09	bmcc469_pfa_dna-tub-cetn_20240111_cl_s09	
bmcc598_pfa_cetn-tub-dna_20240118_MISSINGNAME_s00	bmcc598_pfa_cetn-tub-dna_20240118_cl_s00	
bmcc598_pfa_cetn-tub-dna_20240118_MISSINGNAME_s01	bmcc598_pfa_cetn-tub-dna_20240118_cl_s01	
bmcc598_pfa_cetn-tub-dna_20240118_MISSINGNAME_s02	bmcc598_pfa_cetn-tub-dna_20240118_cl_s02	
bmcc598_pfa_cetn-tub-dna_20240118_MISSINGNAME_s03	bmcc598_pfa_cetn-tub-dna_20240118_cl_s03	
bmcc598_pfa_cetn-tub-dna_20240118_MISSINGNAME_s04	bmcc598_pfa_cetn-tub-dna_20240118_cl_s04	
bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s00	bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s00	
bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s01	bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s01	
bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s02	bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s02	
bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s03	bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s03	
bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s04	bmcc606_pfa_dna-cetn-nhs-tub_20240119_od_s04	
rcc6369_pfa_nhs-tub-dna_20230423_od_s00	rcc6369_pfa_nhs-tub-dna_20230423_od_s00	
rcc6369_pfa_nhs-tub-dna_20230423_od_s01	rcc6369_pfa_nhs-tub-dna_20230423_od_s01	
rcc6369_pfa_nhs-tub-dna_20230423_od_s02	rcc6369_pfa_nhs-tub-dna_20230423_od_s02	
bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s00	bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s00	
bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s01	bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s01	
bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s02	bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s02	
bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s03	bmcc640_pfa_dna-cetn-nhs-tub_20240216_od_s03	
bmcc308_pfa_cetn-tub-dna_20240521_MISSINGNAME_s00	bmcc308_pfa_cetn-tub-dna_20240521_cl_s00	
bmcc308_pfa_cetn-tub-dna_20240521_MISSINGNAME_s01	bmcc308_pfa_cetn-tub-dna_20240521_cl_s01	
